customer_key,customer_number,customer_name,age,age_category,total_orders,total_sales,spender_category,last_order_date,recency,total_quantities,total_products,life_span,average_order_value,average_monthly_spend
20,AW00011020,"Jordan King",42,40-60,1,2295,"medium spender",2012-12-29,159,1,1,159,2295.0000,14.4340
21,AW00011021,"Destiny Wilson",42,40-60,1,2295,"medium spender",2013-01-23,158,1,1,158,2295.0000,14.5253
22,AW00011022,"Ethan Zhang",41,40-60,1,2320,"medium spender",2013-01-20,158,1,1,158,2320.0000,14.6835
23,AW00011023,"Seth Edwards",41,40-60,2,39,"low spender",2014-01-14,146,2,2,146,19.5000,0.2671
24,AW00011024,"Russell Xie",42,40-60,2,9,"low spender",2013-07-26,152,2,2,152,4.5000,0.0592
25,AW00011025,"Alejandro Beck",74,"Above 60",3,6437,"high spender",2013-10-25,149,3,3,149,2145.6667,43.2013
26,AW00011026,"Harold Sai",74,"Above 60",3,6462,"high spender",2013-10-15,149,3,3,149,2154.0000,43.3691
27,AW00011027,"Jessie Zhao",73,"Above 60",3,6437,"high spender",2013-10-24,149,3,3,149,2145.6667,43.2013
28,AW00011028,"Jill Jimenez",74,"Above 60",3,6437,"high spender",2013-10-07,149,3,3,149,2145.6667,43.2013
29,AW00011029,"Jimmy Moreno",73,"Above 60",3,6462,"high spender",2013-11-11,148,3,3,148,2154.0000,43.6622
30,AW00011030,"Bethany Yuan",68,"Above 60",3,6462,"high spender",2013-11-09,148,3,3,148,2154.0000,43.6622
31,AW00011031,"Theresa Ramos",73,"Above 60",3,6462,"high spender",2013-11-13,148,3,3,148,2154.0000,43.6622
32,AW00011032,"Denise Stone",73,"Above 60",3,6437,"high spender",2013-11-08,148,3,3,148,2145.6667,43.4932
33,AW00011033,"Jaime Nath",67,"Above 60",3,6437,"high spender",2013-11-05,148,3,3,148,2145.6667,43.4932
34,AW00011034,"Ebony Gonzalez",73,"Above 60",3,6437,"high spender",2013-11-10,148,3,3,148,2145.6667,43.4932
35,AW00011035,"Wendy Dominguez",72,"Above 60",3,6437,"high spender",2013-11-15,148,3,3,148,2145.6667,43.4932
36,AW00011036,"Jennifer Russell",41,40-60,1,2320,"medium spender",2013-01-22,158,1,1,158,2320.0000,14.6835
37,AW00011037,"Chloe Garcia",42,40-60,1,2295,"medium spender",2013-01-20,158,1,1,158,2295.0000,14.5253
38,AW00011038,"Diana Hernandez",72,"Above 60",3,6437,"high spender",2013-11-12,148,3,3,148,2145.6667,43.4932
39,AW00011039,"Marc Martin",71,"Above 60",3,6462,"high spender",2013-11-11,148,3,3,148,2154.0000,43.6622
40,AW00011040,"Jesse Murphy",43,40-60,1,2320,"medium spender",2013-04-03,155,1,1,155,2320.0000,14.9677
41,AW00011041,"Amanda Carter",42,40-60,1,2295,"medium spender",2013-01-14,158,1,1,158,2295.0000,14.5253
42,AW00011042,"Megan Sanchez",43,40-60,2,3062,"medium spender",2013-10-17,149,2,2,149,1531.0000,20.5503
43,AW00011043,"Nathan Simmons",44,40-60,2,39,"low spender",2013-08-18,151,2,2,151,19.5000,0.2583
44,AW00011044,"Adam Flores",71,"Above 60",3,6412,"high spender",2013-11-08,148,3,3,148,2137.3333,43.3243
45,AW00011045,"Leonard Nara",70,"Above 60",2,55,"low spender",2013-10-29,149,2,2,149,27.5000,0.3691
46,AW00011046,"Christine Yuan",70,"Above 60",3,6437,"high spender",2013-11-12,148,3,3,148,2145.6667,43.4932
47,AW00011047,"Jaclyn Lu",70,"Above 60",3,6462,"high spender",2013-11-19,148,3,3,148,2154.0000,43.6622
48,AW00011048,"Jeremy Powell",69,"Above 60",3,6412,"high spender",2013-12-25,147,3,3,147,2137.3333,43.6190
49,AW00011049,"Carol Rai",40,20-40,2,9,"low spender",2013-10-29,149,2,2,149,4.5000,0.0604
50,AW00011050,"Alan Zheng",69,"Above 60",3,4886,"medium spender",2013-11-19,148,3,3,148,1628.6667,33.0135
51,AW00011051,"Daniel Johnson",69,"Above 60",2,34,"low spender",2014-01-01,146,2,2,146,17.0000,0.2329
52,AW00011052,"Heidi Lopez",69,"Above 60",3,8054,"high spender",2013-05-27,154,3,3,154,2684.6667,52.2987
53,AW00011053,"Ana Price",40,20-40,1,2295,"medium spender",2013-01-17,158,1,1,158,2295.0000,14.5253
54,AW00011054,"Deanna Munoz",68,"Above 60",3,8079,"high spender",2013-05-30,154,3,3,154,2693.0000,52.4610
55,AW00011055,"Gilbert Raje",68,"Above 60",3,8079,"high spender",2013-06-07,153,3,3,153,2693.0000,52.8039
56,AW00011056,"Michele Nath",67,"Above 60",3,8079,"high spender",2013-05-31,154,3,3,154,2693.0000,52.4610
57,AW00011057,"Carl Andersen",55,40-60,3,8079,"high spender",2013-05-21,154,3,3,154,2693.0000,52.4610
58,AW00011058,"Marc Diaz",60,40-60,3,8104,"high spender",2013-06-04,153,3,3,153,2701.3333,52.9673
59,AW00011059,"Ashlee Andersen",66,"Above 60",3,39,"low spender",2013-03-16,156,3,3,156,13.0000,0.2500
60,AW00011060,"Jon Zhou",66,"Above 60",3,8104,"high spender",2013-06-25,153,3,3,153,2701.3333,52.9673
61,AW00011061,"Todd Gao",50,40-60,3,8079,"high spender",2013-06-14,153,3,3,153,2693.0000,52.8039
62,AW00011062,"Noah Powell",45,40-60,1,2295,"medium spender",2013-01-07,158,1,1,158,2295.0000,14.5253
63,AW00011063,"Angela Murphy",45,40-60,1,2295,"medium spender",2013-01-12,158,1,1,158,2295.0000,14.5253
64,AW00011064,"Chase Reed",44,40-60,1,2295,"medium spender",2013-01-25,158,1,1,158,2295.0000,14.5253
65,AW00011065,"Jessica Henderson",46,40-60,2,39,"low spender",2014-01-10,146,2,2,146,19.5000,0.2671
66,AW00011066,"Grace Butler",46,40-60,2,39,"low spender",2013-09-19,150,2,2,150,19.5000,0.2600
67,AW00011067,"Caleb Carter",44,40-60,2,9,"low spender",2014-01-12,146,2,2,146,4.5000,0.0616
68,AW00011068,"Tiffany Liang",59,40-60,3,15,"low spender",2013-10-08,149,3,2,149,5.0000,0.1007
69,AW00011069,"Carolyn Navarro",59,40-60,3,8104,"high spender",2013-06-04,153,3,3,153,2701.3333,52.9673
70,AW00011070,"Willie Raji",65,"Above 60",3,8079,"high spender",2013-06-26,153,3,3,153,2693.0000,52.8039
71,AW00011071,"Linda Serrano",65,"Above 60",3,40,"low spender",2013-12-01,147,3,3,147,13.3333,0.2721
72,AW00011072,"Casey Luo",65,"Above 60",3,8104,"high spender",2013-06-15,153,3,3,153,2701.3333,52.9673
73,AW00011073,"Amy Ye",64,"Above 60",3,40,"low spender",2013-08-21,151,3,3,151,13.3333,0.2649
74,AW00011074,"Levi Arun",64,"Above 60",3,44,"low spender",2013-05-27,154,3,3,154,14.6667,0.2857
75,AW00011075,"Felicia Jimenez",62,"Above 60",3,8054,"high spender",2013-06-24,153,3,3,153,2684.6667,52.6405
76,AW00011076,"Blake Anderson",63,"Above 60",3,8104,"high spender",2013-06-21,153,3,3,153,2701.3333,52.9673
77,AW00011077,"Leah Ye",63,"Above 60",3,8079,"high spender",2013-06-12,153,3,3,153,2693.0000,52.8039
78,AW00011078,"Gina Martin",41,40-60,17,475,"low spender",2014-01-28,146,17,13,146,27.9412,3.2534
79,AW00011079,"Donald Gonzalez",56,40-60,3,40,"low spender",2014-01-01,146,3,3,146,13.3333,0.2740
80,AW00011080,"Damien Chander",61,"Above 60",3,8079,"high spender",2013-06-23,153,3,3,153,2693.0000,52.8039
81,AW00011081,"Savannah Baker",54,40-60,2,39,"low spender",2013-04-13,155,2,2,155,19.5000,0.2516
82,AW00011082,"Angela Butler",54,40-60,2,3037,"medium spender",2013-11-06,148,2,2,148,1518.5000,20.5203
83,AW00011083,"Alyssa Cox",49,40-60,2,3062,"medium spender",2013-11-08,148,2,2,148,1531.0000,20.6892
84,AW00011084,"Lucas Phillips",63,"Above 60",2,3062,"medium spender",2013-11-21,148,2,2,148,1531.0000,20.6892
85,AW00011085,"Emily Johnson",63,"Above 60",2,39,"low spender",2014-01-08,146,2,2,146,19.5000,0.2671
86,AW00011086,"Ryan Brown",62,"Above 60",2,9,"low spender",2013-12-21,147,2,2,147,4.5000,0.0612
87,AW00011087,"Tamara Liang",62,"Above 60",2,39,"low spender",2013-08-09,151,2,2,151,19.5000,0.2583
88,AW00011088,"Hunter Davis",62,"Above 60",2,3062,"medium spender",2013-11-12,148,2,2,148,1531.0000,20.6892
89,AW00011089,"Abigail Price",63,"Above 60",2,3037,"medium spender",2013-11-18,148,2,2,148,1518.5000,20.5203
90,AW00011090,"Trevor Bryant",57,40-60,3,6615,"high spender",2013-11-21,148,3,3,148,2205.0000,44.6959
91,AW00011091,"Dalton Perez",63,"Above 60",28,531,"low spender",2014-01-08,146,28,15,146,18.9643,3.6370
92,AW00011092,"Cheryl Diaz",53,40-60,3,8079,"high spender",2013-06-21,153,3,3,153,2693.0000,52.8039
93,AW00011093,"Aimee He",47,40-60,3,8079,"high spender",2013-06-08,153,3,3,153,2693.0000,52.8039
94,AW00011094,"Cedric Ma",58,40-60,3,43,"low spender",2014-01-11,146,3,3,146,14.3333,0.2945
95,AW00011095,"Chad Kumar",58,40-60,3,8054,"high spender",2013-06-25,153,3,3,153,2684.6667,52.6405
96,AW00011096,"Andrés Anand",58,40-60,3,5679,"high spender",2013-07-30,152,3,3,152,1893.0000,37.3618
97,AW00011097,"Edwin Nara",53,40-60,3,8054,"high spender",2013-07-24,152,3,3,152,2684.6667,52.9868
98,AW00011098,"Mallory Rubio",59,40-60,3,84,"low spender",2013-10-16,149,3,3,149,28.0000,0.5638
99,AW00011099,"Adam Ross",59,40-60,3,8079,"high spender",2013-07-01,152,3,3,152,2693.0000,53.1513
100,AW00011100,"Latasha Navarro",60,40-60,3,8079,"high spender",2013-08-07,151,3,3,151,2693.0000,53.5033
101,AW00011101,"Abby Sai",55,40-60,3,8104,"high spender",2013-06-29,153,3,3,153,2701.3333,52.9673
102,AW00011102,"Julia Nelson",55,40-60,3,43,"low spender",2013-12-09,147,3,3,147,14.3333,0.2925
103,AW00011103,"Cassie Chande",44,40-60,3,8054,"high spender",2013-06-06,153,3,3,153,2684.6667,52.6405
104,AW00011104,"Edgar Sara",51,40-60,3,8079,"high spender",2013-06-15,153,3,3,153,2693.0000,52.8039
105,AW00011105,"Candace Fernandez",55,40-60,3,8079,"high spender",2013-06-05,153,3,3,153,2693.0000,52.8039
106,AW00011106,"Jessie Liu",56,40-60,3,8079,"high spender",2013-06-15,153,3,3,153,2693.0000,52.8039
107,AW00011107,"Bianca Lin",50,40-60,3,8079,"high spender",2013-06-21,153,3,3,153,2693.0000,52.8039
108,AW00011108,"Kari Alvarez",57,40-60,3,8054,"high spender",2013-06-23,153,3,3,153,2684.6667,52.6405
109,AW00011109,"Ruben Kapoor",45,40-60,3,5679,"high spender",2013-06-24,153,3,3,153,1893.0000,37.1176
110,AW00011110,"Curtis Yang",58,40-60,3,8079,"high spender",2013-08-20,151,3,3,151,2693.0000,53.5033
111,AW00011111,"Meredith Gutierrez",58,40-60,3,8079,"high spender",2013-08-22,151,3,3,151,2693.0000,53.5033
112,AW00011112,"Crystal Wang",58,40-60,3,8079,"high spender",2013-09-02,150,3,3,150,2693.0000,53.8600
113,AW00011113,"Micheal Blanco",53,40-60,3,23,"low spender",2013-04-21,155,3,3,155,7.6667,0.1484
114,AW00011114,"Leslie Moreno",58,40-60,3,43,"low spender",2013-12-26,147,3,3,147,14.3333,0.2925
115,AW00011115,"Alvin Cai",58,40-60,3,38,"low spender",2014-01-02,146,3,3,146,12.6667,0.2603
116,AW00011116,"Clinton Carlson",46,40-60,3,38,"low spender",2013-10-16,149,3,3,149,12.6667,0.2550
117,AW00011117,"April Deng",59,40-60,3,8104,"high spender",2013-06-25,153,3,3,153,2701.3333,52.9673
118,AW00011118,"Alvin Zeng",63,"Above 60",3,18,"low spender",2014-01-26,146,3,3,146,6.0000,0.1233
119,AW00011119,"Evan James",85,"Above 60",2,75,"low spender",2013-11-23,148,2,2,148,37.5000,0.5068
120,AW00011120,"Beth Jiménez",84,"Above 60",3,8054,"high spender",2013-09-19,150,3,3,150,2684.6667,53.6933
121,AW00011121,"Orlando Suarez",59,40-60,3,38,"low spender",2013-11-04,148,3,3,148,12.6667,0.2568
122,AW00011122,"Byron Vazquez",60,40-60,3,43,"low spender",2013-08-22,151,3,3,151,14.3333,0.2848
123,AW00011123,"Philip Alvarez",60,40-60,3,23,"low spender",2014-01-25,146,3,3,146,7.6667,0.1575
124,AW00011124,"Ross Jordan",57,40-60,3,8079,"high spender",2013-06-18,153,3,3,153,2693.0000,52.8039
125,AW00011125,"Dana Navarro",64,"Above 60",3,43,"low spender",2013-07-03,152,3,3,152,14.3333,0.2829
126,AW00011126,"Shaun Carson",71,"Above 60",3,4911,"medium spender",2013-11-03,148,3,3,148,1637.0000,33.1824
127,AW00011127,"Jan Edwards",44,40-60,2,39,"low spender",2013-10-01,149,2,2,149,19.5000,0.2617
128,AW00011128,"Samantha Long",44,40-60,2,39,"low spender",2013-08-12,151,2,2,151,19.5000,0.2583
129,AW00011129,"Julia Wright",45,40-60,2,5873,"high spender",2013-01-09,158,2,2,158,2936.5000,37.1709
130,AW00011130,"Caroline Russell",40,20-40,1,35,"low spender",2013-12-09,147,1,1,147,35.0000,0.2381
131,AW00011131,"Amanda Rivera",40,20-40,5,105,"low spender",2014-01-23,146,5,5,146,21.0000,0.7192
132,AW00011132,"Melissa Richardson",39,20-40,1,2295,"medium spender",2013-04-09,155,1,1,155,2295.0000,14.8065
133,AW00011133,"Angela Griffin",40,20-40,1,35,"low spender",2013-12-30,147,1,1,147,35.0000,0.2381
134,AW00011134,"Larry Townsend",69,"Above 60",3,4911,"medium spender",2013-11-03,148,3,3,148,1637.0000,33.1824
135,AW00011135,"Marcus Harris",40,20-40,1,2320,"medium spender",2013-04-18,155,1,1,155,2320.0000,14.9677
136,AW00011136,"Brianna Morgan",41,40-60,1,2295,"medium spender",2013-01-03,158,1,1,158,2295.0000,14.5253
137,AW00011137,"Jasmine Taylor",42,40-60,2,39,"low spender",2014-01-20,146,2,2,146,19.5000,0.2671
138,AW00011138,"Lauren Davis",42,40-60,2,39,"low spender",2013-12-31,147,2,2,147,19.5000,0.2653
139,AW00011139,"Tanya Moreno",76,"Above 60",2,34,"low spender",2013-10-17,149,2,2,149,17.0000,0.2282
140,AW00011140,"Javier Alvarez",43,40-60,1,5,"low spender",2013-03-19,156,1,1,156,5.0000,0.0321
141,AW00011141,"Nicole Ramirez",43,40-60,2,39,"low spender",2013-09-28,150,2,2,150,19.5000,0.2600
142,AW00011142,"Eduardo Patterson",43,40-60,17,481,"low spender",2014-01-13,146,17,14,146,28.2941,3.2945
143,AW00011143,"Jonathan Henderson",43,40-60,2,39,"low spender",2013-12-19,147,2,2,147,19.5000,0.2653
144,AW00011144,"Edward Hernandez",41,40-60,1,2295,"medium spender",2013-01-25,158,1,1,158,2295.0000,14.5253
145,AW00011145,"Jasmine Coleman",40,20-40,1,2295,"medium spender",2013-01-25,158,1,1,158,2295.0000,14.5253
146,AW00011146,"Karla Goel",81,"Above 60",3,84,"low spender",2013-09-15,150,3,3,150,28.0000,0.5600
147,AW00011147,"Ernest Wu",81,"Above 60",3,8079,"high spender",2013-10-16,149,3,3,149,2693.0000,54.2215
148,AW00011148,"Ross Vazquez",79,"Above 60",3,64,"low spender",2013-12-03,147,3,2,147,21.3333,0.4354
149,AW00011149,"Theodore Gill",79,"Above 60",3,39,"low spender",2013-11-29,148,3,3,148,13.0000,0.2635
150,AW00011150,"Russell Shen",79,"Above 60",3,39,"low spender",2013-07-15,152,3,3,152,13.0000,0.2566
151,AW00011151,"Melinda Gill",78,"Above 60",3,8054,"high spender",2013-10-20,149,3,3,149,2684.6667,54.0537
152,AW00011152,"James Williams",44,40-60,1,2295,"medium spender",2013-01-09,158,1,1,158,2295.0000,14.5253
153,AW00011153,"Angela James",44,40-60,2,99,"low spender",2013-03-29,156,2,2,156,49.5000,0.6346
154,AW00011154,"Megan Walker",44,40-60,1,2320,"medium spender",2013-01-10,158,1,1,158,2320.0000,14.6835
155,AW00011155,"Hunter Robinson",44,40-60,1,2320,"medium spender",2013-01-06,158,1,1,158,2320.0000,14.6835
156,AW00011156,"Maria Roberts",44,40-60,1,2295,"medium spender",2013-01-08,158,1,1,158,2295.0000,14.5253
157,AW00011157,"Hannah Long",45,40-60,2,39,"low spender",2013-09-11,150,2,2,150,19.5000,0.2600
158,AW00011158,"Jason Wright",44,40-60,1,2320,"medium spender",2013-01-19,158,1,1,158,2320.0000,14.6835
159,AW00011159,"Brianna Hughes",45,40-60,2,9,"low spender",2013-11-07,148,2,2,148,4.5000,0.0608
160,AW00011160,"Maurice Tang",46,40-60,1,2320,"medium spender",2013-02-21,157,1,1,157,2320.0000,14.7771
161,AW00011161,"Emily Wood",46,40-60,2,39,"low spender",2013-11-11,148,2,2,148,19.5000,0.2635
162,AW00011162,"Chase Cox",46,40-60,1,2295,"medium spender",2013-02-18,157,1,1,157,2295.0000,14.6178
163,AW00011163,"Gabriel Wang",45,40-60,2,9,"low spender",2013-08-05,151,2,2,151,4.5000,0.0596
164,AW00011164,"Devin Brooks",46,40-60,2,9,"low spender",2013-08-05,151,2,2,151,4.5000,0.0596
165,AW00011165,"Jocelyn Alexander",47,40-60,2,39,"low spender",2013-06-05,153,2,2,153,19.5000,0.2549
166,AW00011166,"Ashley Martinez",48,40-60,2,9,"low spender",2013-12-06,147,2,2,147,4.5000,0.0612
167,AW00011167,"Jasmine Barnes",48,40-60,2,3037,"medium spender",2013-11-28,148,2,2,148,1518.5000,20.5203
168,AW00011168,"David Rodriguez",52,40-60,2,3037,"medium spender",2013-11-16,148,2,2,148,1518.5000,20.5203
169,AW00011169,"Bryce Richardson",52,40-60,2,9,"low spender",2013-09-24,150,2,2,150,4.5000,0.0600
170,AW00011170,"Carol Howard",52,40-60,2,39,"low spender",2013-12-29,147,2,2,147,19.5000,0.2653
171,AW00011171,"Jonathan Hill",47,40-60,3,6615,"high spender",2013-11-07,148,3,3,148,2205.0000,44.6959
172,AW00011172,"Gabrielle Adams",52,40-60,2,9,"low spender",2014-01-11,146,2,2,146,4.5000,0.0616
173,AW00011173,"Sarah Thomas",53,40-60,2,39,"low spender",2013-12-24,147,2,2,147,19.5000,0.2653
174,AW00011174,"Nicholas Robinson",53,40-60,2,39,"low spender",2013-07-25,152,2,2,152,19.5000,0.2566
175,AW00011175,"Luis Wang",57,40-60,3,6640,"high spender",2013-11-03,148,3,3,148,2213.3333,44.8649
176,AW00011176,"Mason Roberts",47,40-60,28,745,"low spender",2014-01-27,146,28,16,146,26.6071,5.1027
177,AW00011177,"Jose Flores",78,"Above 60",2,39,"low spender",2013-10-14,149,2,2,149,19.5000,0.2617
178,AW00011178,"Nathan Johnson",71,"Above 60",2,39,"low spender",2013-05-26,154,2,2,154,19.5000,0.2532
179,AW00011179,"Molly Rodriguez",66,"Above 60",2,39,"low spender",2014-01-09,146,2,2,146,19.5000,0.2671
180,AW00011180,"April Anand",77,"Above 60",2,39,"low spender",2013-09-25,150,2,2,150,19.5000,0.2600
181,AW00011181,"Devin Martin",66,"Above 60",2,39,"low spender",2013-07-11,152,2,2,152,19.5000,0.2566
182,AW00011182,"Stephanie Torres",76,"Above 60",2,9,"low spender",2014-01-05,146,2,2,146,4.5000,0.0616
183,AW00011183,"Jasmine Lee",76,"Above 60",2,39,"low spender",2013-06-13,153,2,2,153,19.5000,0.2549
184,AW00011184,"Meghan Hernandez",70,"Above 60",2,39,"low spender",2013-10-09,149,2,2,149,19.5000,0.2617
185,AW00011185,"Ashley Henderson",75,"Above 60",27,557,"low spender",2014-01-26,146,27,16,146,20.6296,3.8151
186,AW00011186,"Sarah Price",76,"Above 60",2,39,"low spender",2014-01-07,146,2,2,146,19.5000,0.2671
187,AW00011187,"Jennifer Cooper",76,"Above 60",2,39,"low spender",2013-08-06,151,2,2,151,19.5000,0.2583
188,AW00011188,"Catherine Morris",76,"Above 60",2,9,"low spender",2014-01-21,146,2,2,146,4.5000,0.0616
189,AW00011189,"Lawrence Blanco",76,"Above 60",2,5873,"high spender",2013-02-05,157,2,2,157,2936.5000,37.4076
190,AW00011190,"Carson Bryant",76,"Above 60",2,9,"low spender",2014-01-16,146,2,2,146,4.5000,0.0616
191,AW00011191,"Kristi Perez",74,"Above 60",3,6640,"high spender",2013-11-06,148,3,3,148,2213.3333,44.8649
192,AW00011192,"James Brown",75,"Above 60",2,9,"low spender",2013-09-25,150,2,2,150,4.5000,0.0600
193,AW00011193,"Ian Gray",75,"Above 60",2,39,"low spender",2013-08-18,151,2,2,151,19.5000,0.2583
194,AW00011194,"Jacqueline Price",75,"Above 60",2,39,"low spender",2013-12-08,147,2,2,147,19.5000,0.2653
195,AW00011195,"Megan Henderson",74,"Above 60",2,9,"low spender",2013-10-22,149,2,2,149,4.5000,0.0604
196,AW00011196,"Alfredo Romero",74,"Above 60",2,7,"low spender",2013-09-24,150,2,2,150,3.5000,0.0467
197,AW00011197,"Andrea Morris",74,"Above 60",2,39,"low spender",2013-07-20,152,2,2,152,19.5000,0.2566
198,AW00011198,"Brooke Sanders",73,"Above 60",2,39,"low spender",2013-02-13,157,2,2,157,19.5000,0.2484
199,AW00011199,"Jacqueline Bennett",68,"Above 60",2,39,"low spender",2013-10-17,149,2,2,149,19.5000,0.2617
200,AW00011200,"Jason Griffin",72,"Above 60",27,578,"low spender",2014-01-20,146,27,16,146,21.4074,3.9589
201,AW00011201,"Amanda Foster",73,"Above 60",2,39,"low spender",2013-09-09,150,2,2,150,19.5000,0.2600
202,AW00011202,"Alexia Price",67,"Above 60",2,39,"low spender",2013-09-21,150,2,2,150,19.5000,0.2600
203,AW00011203,"Luis Diaz",66,"Above 60",17,455,"low spender",2013-12-11,147,17,12,147,26.7647,3.0952
204,AW00011204,"Destiny Rivera",72,"Above 60",2,37,"low spender",2013-11-10,148,2,2,148,18.5000,0.2500
205,AW00011205,"Abby Fernandez",72,"Above 60",2,37,"low spender",2013-10-08,149,2,2,149,18.5000,0.2483
206,AW00011206,"Blake Flores",72,"Above 60",2,7,"low spender",2013-05-30,154,2,2,154,3.5000,0.0455
207,AW00011207,"Danielle Cox",72,"Above 60",2,37,"low spender",2013-10-18,149,2,2,149,18.5000,0.2483
208,AW00011208,"Maria Reed",72,"Above 60",2,37,"low spender",2013-09-17,150,2,2,150,18.5000,0.2467
209,AW00011209,"Allison Evans",72,"Above 60",2,37,"low spender",2014-01-22,146,2,2,146,18.5000,0.2534
210,AW00011210,"Edward Wood",72,"Above 60",2,9,"low spender",2013-09-06,150,2,2,150,4.5000,0.0600
211,AW00011211,"Samantha Russell",65,"Above 60",17,444,"low spender",2014-01-07,146,17,13,146,26.1176,3.0411
212,AW00011212,"Chloe Campbell",70,"Above 60",17,469,"low spender",2014-01-17,146,17,14,146,27.5882,3.2123
213,AW00011213,"Stephanie Murphy",71,"Above 60",2,7,"low spender",2013-09-09,150,2,2,150,3.5000,0.0467
214,AW00011214,"Charles Miller",70,"Above 60",2,37,"low spender",2013-11-19,148,2,2,148,18.5000,0.2500
215,AW00011215,"Ana Perry",64,"Above 60",17,354,"low spender",2013-12-15,147,17,14,147,20.8235,2.4082
216,AW00011216,"Jasmine Torres",70,"Above 60",2,5873,"high spender",2013-02-05,157,2,2,157,2936.5000,37.4076
217,AW00011217,"Natalie Adams",70,"Above 60",2,5898,"high spender",2013-02-14,157,2,2,157,2949.0000,37.5669
218,AW00011218,"Olivia Brown",64,"Above 60",2,37,"low spender",2014-01-04,146,2,2,146,18.5000,0.2534
219,AW00011219,"Charles Cook",69,"Above 60",2,37,"low spender",2014-01-24,146,2,2,146,18.5000,0.2534
220,AW00011220,"Erica Huang",65,"Above 60",2,37,"low spender",2013-12-13,147,2,2,147,18.5000,0.2517
221,AW00011221,"Nathan Perry",70,"Above 60",2,39,"low spender",2013-10-17,149,2,2,149,19.5000,0.2617
222,AW00011222,"Alexandra Rivera",70,"Above 60",2,9,"low spender",2013-11-28,148,2,2,148,4.5000,0.0608
223,AW00011223,"Hailey Patterson",69,"Above 60",27,494,"low spender",2014-01-06,146,36,17,146,18.2963,3.3836
224,AW00011224,"Tiffany Li",69,"Above 60",3,6615,"high spender",2013-12-03,147,3,3,147,2205.0000,45.0000
225,AW00011225,"Madison Lee",64,"Above 60",2,7,"low spender",2013-09-06,150,2,2,150,3.5000,0.0467
226,AW00011226,"Sydney Ross",63,"Above 60",2,37,"low spender",2013-03-31,156,2,2,156,18.5000,0.2372
227,AW00011227,"Marshall Chavez",63,"Above 60",2,5873,"high spender",2013-02-10,157,2,2,157,2936.5000,37.4076
228,AW00011228,"Ashley Jones",69,"Above 60",2,37,"low spender",2014-01-17,146,2,2,146,18.5000,0.2534
229,AW00011229,"Adrian Stewart",68,"Above 60",2,39,"low spender",2014-01-25,146,2,2,146,19.5000,0.2671
230,AW00011230,"Amber Turner",69,"Above 60",2,39,"low spender",2013-12-09,147,2,2,147,19.5000,0.2653
231,AW00011231,"Dennis Zhang",62,"Above 60",2,7,"low spender",2013-11-12,148,2,2,148,3.5000,0.0473
232,AW00011232,"Hailey Bryant",68,"Above 60",2,37,"low spender",2013-11-13,148,2,2,148,18.5000,0.2500
233,AW00011233,"Todd Li",62,"Above 60",2,39,"low spender",2013-06-08,153,2,2,153,19.5000,0.2549
